2010 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:56 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
NSW,104,Barton,T,0,22223,T Ticket Votes,,,N,N,31,1,1,2,0,35
NSW,104,Barton,T,1,21908,"BOURKE, William",,,N,N,6,0,0,0,0,6
NSW,104,Barton,T,2,21910,"O'CONNOR, Mark",,,N,N,0,0,0,0,0,0
NSW,104,Barton,U,0,22217,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),NCP,N,N,57,4,4,4,1,70
NSW,104,Barton,U,1,21413,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),NCP,N,N,1,0,0,0,0,1
NSW,104,Barton,U,2,21420,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),NCP,N,N,0,0,0,0,0,0
NSW,104,Barton,V,0,22209,V Ticket Votes,Family First,FFP,N,N,534,41,7,45,34,661
NSW,104,Barton,V,1,21178,"SWANE, Greg",Family First,FFP,N,N,26,1,0,3,4,34
NSW,104,Barton,V,2,21182,"LAMB, Phil",Family First,FFP,N,N,3,0,0,1,0,4
NSW,104,Barton,W,0,22206,W Ticket Votes,Labor,ALP,N,N,29731,1682,321,1637,1766,35137
NSW,104,Barton,W,1,21012,"FAULKNER, John",Labor,ALP,Y,Y,182,9,3,12,8,214
NSW,104,Barton,W,2,21016,"THISTLETHWAITE, Matthew",Labor,ALP,Y,N,4,1,0,0,1,6
NSW,104,Barton,W,3,21018,"HUTCHINS, Steve",Labor,ALP,N,Y,6,0,0,1,0,7
NSW,104,Barton,W,4,21020,"MURNAIN, Anne",Labor,ALP,N,N,9,1,0,1,0,11
NSW,104,Barton,W,5,21022,"SEATON, Fiona",Labor,ALP,N,N,3,0,0,1,2,6
NSW,104,Barton,W,6,21025,"McDERMOTT, Hugh",Labor,ALP,N,N,5,1,0,0,1,7
