Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Bennelong,105,Epping Heights,Epping Heights Public School,128 Kent St,,,EPPING,NSW,2121,-33.76269043,151.0740597
NSW,Bennelong,105,Epping North,Epping North Public School,89-119 Boundary Rd,,,NORTH EPPING,NSW,2121,-33.75770851,151.0953903
NSW,Bennelong,105,Epping West,Epping West Public School,96 Carlingford Rd,,,EPPING,NSW,2121,-33.7728471,151.0684506
NSW,Bennelong,105,Ermington Central,Rydalmere East Public School,41 Spurway St,,,ERMINGTON,NSW,2115,-33.816527,151.0572843
NSW,Bennelong,105,Ermington West (Bennelong),Ermington West Public School,383 Vignes St,,,ERMINGTON,NSW,2115,-33.8061,151.058
NSW,Bennelong,105,Gladesville (Bennelong),Gladesville Public School,178 Victoria Rd,,,GLADESVILLE,NSW,2111,-33.83327592,151.1256317
NSW,Bennelong,105,Gladesville North,Gladesville Sporties,181A Ryde Rd,,,GLADESVILLE,NSW,2111,-33.82301588,151.1299733
NSW,Bennelong,105,Hunters Hill North (Bennelong),Boronia Park Public School,113 Pittwater Rd,,,HUNTERS HILL,NSW,2110,-33.82158286,151.1351309
NSW,Bennelong,105,Macquarie Park,Morling College,122 Herring Rd,,,MACQUARIE PARK,NSW,2113,-33.77905481,151.1141186
NSW,Bennelong,105,Macquarie Park South,Kent Road Public School,45-61 Herring Rd,,,MARSFIELD,NSW,2122,-33.78760201,151.1073987
NSW,Bennelong,105,Marsfield,Macquarie Anglican Church (St Georges Pre-school),100 Balaclava Rd,,,EASTWOOD,NSW,2122,-33.7818423,151.0980188
NSW,Bennelong,105,Marsfield North,Epping Boys High School,213 Vimiera Rd,,,MARSFIELD,NSW,2122,-33.76940259,151.0996305
NSW,Bennelong,105,Meadowbank,Boronia Grove Community Centre,40 Victoria St,,,EPPING,NSW,2121,-33.77315891,151.0797936
NSW,Bennelong,105,Melrose Park,Melrose Park Public School,110 Wharf Rd,,,MELROSE PARK,NSW,2114,-33.81484545,151.0719299
NSW,Bennelong,105,North Ryde,Truscott Street Public School,38 Truscott St,,,NORTH RYDE,NSW,2113,-33.7947,151.13
NSW,Bennelong,105,North Ryde Central,North Ryde Public School,154 Coxs Rd,,,NORTH RYDE,NSW,2113,-33.79475734,151.1200443
