PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Battery Point West,202,808,25.0,Clark,Hobart,Hobart City,"10A Albuera St, BATTERY POINT 7004",Albuera Street Primary School,-42.8912,147.326
Cascades,494,1148,43.0,Clark,Hobart,Hobart City,"101 Cascade Rd, SOUTH HOBART 7004",Badminton Association Centre,-42.895022999999995,147.299845
Chigwell,59,1184,5.0,Clark,Derwent,Glenorchy City,"10 Bucaan St, CHIGWELL 7011",Chigwell Barn,-42.811194,147.241655
Claremont,143,2559,5.6,Clark,Derwent,Glenorchy City,"3 Boxhill Rd, CLAREMONT 7011",Claremont Girl Guides Hall,-42.792307,147.255999
Collinsvale,44,347,12.7,Clark,Elwick,Glenorchy City,"508 Collinsvale Rd, COLLINSVALE 7012",Collinsvale Primary School,-42.8367,147.198
Dynnyrne,279,1057,26.4,Clark,Nelson,Hobart City,"Randall St, SANDY BAY 7005",Princes Street Primary School,-42.8984,147.319
Fern Tree,260,541,48.1,Clark,Hobart,Hobart City,"7 Summerleas Rd, FERN TREE 7054",Fern Tree Fire Station,-42.923248,147.260441
Glenorchy,200,2769,7.2,Clark,Elwick,Glenorchy City,"Kensington St, GLENORCHY 7010",Glenorchy Primary School,-42.832390999999994,147.266343
Glenorchy Central,124,1351,9.2,Clark,Elwick,Glenorchy City,"Cnr Tolosa St and Main Rd, GLENORCHY 7010",St Matthews Church,-42.833065999999995,147.274292
Goodwood,29,510,5.7,Clark,Elwick,Glenorchy City,"Elmsleigh Rd, MOONAH 7009",Goodwood Primary School,-42.831689000000004,147.293744
Hobart City,267,825,32.4,Clark,Hobart,Hobart City,"144 Macquarie St, HOBART 7000",Hobart Voting Centre,-42.885222999999996,147.327458
Kingston (Clark),112,564,19.9,Clark,Nelson,Kingborough,"15 Channel Hwy, KINGSTON 7050",Kingborough Council,-42.975418,147.31165
Lenah Valley,474,2561,18.5,Clark,Elwick,Hobart City,"11 Creek Rd, LENAH VALLEY 7008",Lenah Valley Primary School,-42.8612,147.29
Lower Sandy Bay,203,1427,14.2,Clark,Nelson,Hobart City,"568 Sandy Bay Rd, SANDY BAY 7005",Sandy Bay Infant School,-42.909594,147.34935
Lutana,130,945,13.8,Clark,Elwick,Glenorchy City,"12 Ashbolt Cres, LUTANA 7009",Southern ITF Taekwon-Do,-42.843166,147.309154
Merton,118,1678,7.0,Clark,Elwick,Glenorchy City,"148 Tolosa St, GLENORCHY 7010",Tolosa Hall,-42.8455,147.265
Moonah,210,1542,13.6,Clark,Elwick,Glenorchy City,"73 Hopkins St, MOONAH 7009",Salvation Army Community Centre,-42.845951,147.296066
Moonah East,187,1276,14.7,Clark,Elwick,Glenorchy City,"35 Bowen Rd, MOONAH 7009",Bowen Road Primary School,-42.8474,147.308
Moonah North,187,1560,12.0,Clark,Elwick,Glenorchy City,"40 Derwent Park Rd, MOONAH 7009",Moonah Primary School,-42.838,147.296
Mount Nelson,313,1329,23.6,Clark,Nelson,Hobart City,"388 Nelson Rd, MOUNT NELSON 7007",Mt Nelson Primary School,-42.9136,147.323
Mount Stuart,234,949,24.7,Clark,Hobart,Hobart City,"106 Gillon Cres, MOUNT STUART 7000",Mt Stuart Primary School,-42.875,147.299
New Town,252,1165,21.6,Clark,Hobart,Hobart City,"393 Argyle St, NORTH HOBART 7000",The Friends School,-42.867,147.316
New Town West,344,1933,17.8,Clark,Hobart,Hobart City,"67 Clare St, NEW TOWN 7008",Sacred Heart College,-42.8615,147.304
North Hobart Central,427,1561,27.4,Clark,Hobart,Hobart City,"2 Swan St, NORTH HOBART 7000",Hobart North Uniting Church,-42.8728,147.314
Roseneath,35,681,5.1,Clark,Derwent,Glenorchy City,"13 Brodie St, CLAREMONT 7011",Austins Ferry Primary School,-42.78618,147.240549
Rosetta,41,478,8.6,Clark,Elwick,Glenorchy City,"865 Brooker Ave, ROSETTA 7010",Montrose Bay High School,-42.8206,147.26756699999999
Sandfly (Clark),61,267,22.8,Clark,Huon,Kingborough,"811 Sandfly Rd, SANDFLY 7150",Sandfly Hall,-42.985,147.196
Sandy Bay,236,1373,17.2,Clark,Nelson,Hobart City,"43 Grosvenor St, SANDY BAY 7005",Wellspring Anglican Church Hall,-42.8992,147.327
Sandy Bay Beach,82,644,12.7,Clark,Nelson,Hobart City,"1 Southerwood Dr, SANDY BAY 7005",Harold Gregg Centre,-42.9138,147.355
South Hobart,446,1310,34.0,Clark,Hobart,Hobart City,"34 Anglesea St, SOUTH HOBART 7004",St Francis Xavier's Church Hall,-42.8949,147.312
Taroona,470,1459,32.2,Clark,Nelson,Hobart City,"104 Channel Hwy, TAROONA 7053",Taroona Primary School,-42.943302,147.35273700000002
Waimea Heights,150,898,16.7,Clark,Nelson,Hobart City,"12 Balfour Ct, SANDY BAY 7005",Waimea Heights Primary School,-42.909011,147.33674
West Hobart,256,904,28.3,Clark,Hobart,Hobart City,"Cnr Brisbane/Harrington Sts, HOBART 7000",St Peter's Hall,-42.881458,147.320654
West Hobart Central,506,1916,26.4,Clark,Hobart,Hobart City,"15 Gourlay St, WEST HOBART 7000",Lansdowne Crescent Primary School,-42.8819,147.309
West Hobart South,367,1067,34.4,Clark,Hobart,Hobart City,"Forest Rd, WEST HOBART 7000",Goulburn Street Primary School,-42.8878,147.317
Windermere,50,978,5.1,Clark,Derwent,Glenorchy City,"2 Cadbury Rd, CLAREMONT 7011",Windermere Primary School,-42.800129999999996,147.259102
Adventure Bay,31,180,17.2,Franklin,Huon,Kingborough,"Adventure Bay Rd, ADVENTURE BAY 7150",Adventure Bay Hall,-43.3458,147.321
Alonnah,56,278,20.1,Franklin,Huon,Kingborough,"15 School Rd, ALONNAH 7150",Bruny Island District School,-43.31807,147.24445500000002
Barnes Bay,16,76,21.1,Franklin,Huon,Kingborough,"678 Bruny Island Main Rd, NORTH BRUNY 7150",Barnes Bay CWA Rooms,-43.112603,147.373414
Bellerive,294,1794,16.4,Franklin,Pembroke,Clarence City,"10 Scott St, BELLERIVE 7018",Clarence Police & Community Youth Club Inc,-42.876059999999995,147.370954
Blackmans Bay,478,2705,17.7,Franklin,Nelson,Kingborough,"177 Roslyn Ave, BLACKMANS BAY 7052",Blackmans Bay Primary School,-42.996938,147.32121899999999
Cambridge,115,1483,7.8,Franklin,Rumney,Clarence City,"976 Cambridge Rd, CAMBRIDGE 7170",Cambridge Primary School,-42.8362,147.442
Clarence,255,1897,13.4,Franklin,Pembroke,Clarence City,"25 Wentworth St, BELLERIVE 7018",Clarence High School,-42.8784,147.389
Clarendon Vale,35,787,4.4,Franklin,Rumney,Clarence City,"65 Mockridge Rd, CLARENDON VALE 7019",Clarendon Vale Neighbourhood Centre,-42.887539000000004,147.44308600000002
Cradoc,114,479,23.8,Franklin,Huon,Huon Valley,"8243 Channel Hwy, CRADOC 7109",Cradoc Park,-43.1064,147.034
Cygnet,652,1820,35.8,Franklin,Huon,Huon Valley,"25 Mary St, CYGNET 7112",Carmel Hall,-43.162624,147.07634099999999
Dover,89,633,14.1,Franklin,Huon,Huon Valley,"6940 Huon Hwy, DOVER 7117",Dover District High School,-43.3105,147.013
Franklin,170,644,26.4,Franklin,Huon,Huon Valley,"10 New Rd, FRANKLIN 7113",Franklin Primary School,-43.085654,147.01201799999998
Geeveston,138,1075,12.8,Franklin,Huon,Huon Valley,"63 Arve Rd, GEEVESTON 7116",Geeveston Primary School,-43.1625,146.922
Geilston Bay,183,1972,9.3,Franklin,Pembroke,Clarence City,"271 East Derwent Hwy, GEILSTON BAY 7015",Lindisfarne North Primary School,-42.8383,147.349
Glen Huon,46,315,14.6,Franklin,Huon,Huon Valley,"801 Glen Huon Rd, GLEN HUON 7109",Glen Huon Primary School,-43.0278,146.96200000000002
Howden,107,438,24.4,Franklin,Huon,Kingborough,"392 Howden Rd, HOWDEN 7054",Howden Fire Station,-43.019128,147.29154499999999
Howrah,227,2460,9.2,Franklin,Pembroke,Clarence City,"7 Howrah Rd, HOWRAH 7018","Howrah Scout Hall, Howrah Primary School",-42.8819,147.404
Huonville,203,1489,13.6,Franklin,Huon,Huon Valley,"74 Wilmot Rd, HUONVILLE 7109",Huonville Primary School,-43.02424,147.044783
Judbury,48,252,19.0,Franklin,Huon,Huon Valley,"1273 Glen Huon Rd, JUDBURY 7109",Judbury Hall,-42.9982,146.9283
Kettering,156,544,28.7,Franklin,Huon,Kingborough,"2963 Channel Hwy, KETTERING 7155",Kettering Community Centre,-43.1257,147.247
Kingston (Franklin),363,1987,18.3,Franklin,Nelson,Kingborough,"15 Channel Hwy, KINGSTON 7050",Kingborough Council,-42.975418,147.31165
Kingston Beach,322,1728,18.6,Franklin,Nelson,Kingborough,"20 Beach Rd, KINGSTON BEACH 7050",Kingston Beach Hall,-42.981534,147.323507
Lauderdale,311,2434,12.8,Franklin,Rumney,Clarence City,"528A South Arm Rd, LAUDERDALE 7021",Lauderdale Community Hall,-42.913663,147.48627
Lindisfarne,179,1453,12.3,Franklin,Pembroke,Clarence City,"17 Loatta Rd, LINDISFARNE 7015",Lindisfarne Primary School,-42.8519,147.363
Lindisfarne Village,233,1880,12.4,Franklin,Pembroke,Clarence City,"54 Lincoln St, LINDISFARNE 7015",St Aidans Church Hall,-42.846661,147.35574
Maranoa Heights,167,1701,9.8,Franklin,Nelson,Kingborough,"150 Redwood Rd, KINGSTON 7050",Southern Christian College,-42.9896,147.309
Margate,338,2012,16.8,Franklin,Huon,Kingborough,"1744 Channel Hwy, MARGATE 7054",Margate Hall,-43.028999999999996,147.263
Middleton,66,277,23.8,Franklin,Huon,Kingborough,"25 McDowall St, MIDDLETON 7163",South Channel Community Centre,-43.2311,147.256
Montagu Bay,185,1229,15.1,Franklin,Pembroke,Clarence City,"10 Conara Rd, MONTAGU BAY 7018",Montagu Bay Primary School,-42.8646,147.35299999999998
Mornington,71,767,9.3,Franklin,Pembroke,Clarence City,"400 Cambridge Rd, MORNINGTON 7018",Citywide Baptist Church,-42.856351000000004,147.401753
Mountain River,99,584,17.0,Franklin,Huon,Huon Valley,"263 Mountain River Rd, MOUNTAIN RIVER 7109",Mountain River Memorial Hall,-42.9614,147.109
Old Beach,76,1482,5.1,Lyons,Rumney,Brighton,"86 Jetty Rd, OLD BEACH 7017",Old Beach Community Centre,-42.77427,147.26576
Ranelagh,150,1032,14.5,Franklin,Huon,Huon Valley,"40 Marguerite St, RANELAGH 7109",Ranelagh Memorial Hall,-43.0086,147.039
Richmond,95,928,10.2,Lyons,Rumney,Clarence City,"Commercial Rd, RICHMOND 7025",Richmond Primary School,-42.739282,147.437988
Risdon Vale,61,1156,5.3,Franklin,Rumney,Clarence City,"2 Heather Rd, RISDON VALE 7016",Risdon Vale Primary School,-42.8131,147.35399999999998
Rokeby,68,1350,5.0,Franklin,Rumney,Clarence City,"1 Chipmans Rd, ROKEBY 7019",Emmanuel Christian School,-42.900909999999996,147.438998
Sandfly (Franklin),193,871,22.2,Franklin,Huon,Kingborough,"811 Sandfly Rd, SANDFLY 7150",Sandfly Hall,-42.985,147.196
Sandford,274,1331,20.6,Franklin,Rumney,Clarence City,"949 South Arm Rd, SANDFORD 7020",Sandford Hall,-42.9402,147.495
