PollingPlaceNm,DivisionNm,GreensVotes_2024,TotalVotes_2024,GreensPercentage_2024,SwingPercentage,PremisesNm_2024,PremisesAddress_2024,Latitude,Longitude,LegCo,LocalCouncil
Mount Nelson,Clark,325,1274,25.5,-1.1,Mt Nelson Primary School,"388 Nelson Rd, MOUNT NELSON 7007",-42.9136,147.323,Nelson,Hobart City
Mount Stuart,Clark,235,892,26.3,-1.1,Mt Stuart Primary School,"106 Gillon Cres, MOUNT STUART 7000",-42.875,147.299,Hobart,Hobart City
New Town,Clark,227,787,28.8,-2.0,The Friends’ School,"395 Argyle St, NORTH HOBART 7000",-42.867,147.316,Hobart,Hobart City
New Town West,Clark,385,1749,22.0,0.7,Sacred Heart College,"67 Clare St, NEW TOWN 7008",-42.8615,147.304,Hobart,Hobart City
North Hobart Central,Clark,447,1307,34.2,2.6,Hobart North Uniting Church,"2 Swan St, NORTH HOBART 7000",-42.8728,147.314,Hobart,Hobart City
Roseneath,Clark,70,900,7.8,-0.5,Austins Ferry Primary School,"13 Brodie St, CLAREMONT 7011",-42.78618,147.240549,Derwent,Glenorchy City
Rosetta,Clark,68,394,17.3,7.7,Montrose Bay High School,"865 Brooker Ave, ROSETTA 7010",-42.8206,147.267567,Elwick,Glenorchy City
Sandfly,Clark,96,270,35.6,8.4,Sandfly Hall,"811 Sandfly Rd, SANDFLY 7150",-42.985,147.196,Huon,Kingborough
Sandy Bay,Clark,251,1251,20.1,-1.2,Wellspring Anglican Church Hall,"43 Grosvenor St, SANDY BAY 7005",-42.8992,147.327,Nelson,Hobart City
Sandy Bay Beach,Clark,91,697,13.1,-2.0,Harold Gregg Centre,"1 Southerwood Dr, SANDY BAY 7005",-42.9138,147.355,Nelson,Hobart City
South Hobart,Clark,469,1228,38.2,2.5,St Francis Xavier's Church Hall,"34 Anglesea St, SOUTH HOBART 7004",-42.8949,147.312,Hobart,Hobart City
Taroona,Clark,533,1395,38.2,-1.0,Taroona Primary School,"104 Channel Hwy, TAROONA 7053",-42.943302,147.352737,Nelson,Hobart City
Waimea Heights,Clark,167,965,17.3,-0.9,Waimea Heights Primary School,"12 Balfour Ct, SANDY BAY 7005",-42.909011,147.33674,Nelson,Hobart City
West Hobart,Clark,181,556,32.6,4.3,St Peter's Hall,"Cnr Brisbane/Harrington Sts, HOBART 7000",-42.881458,147.320654,Hobart,Hobart City
West Hobart Central,Clark,577,1779,32.4,-0.1,Lansdowne Crescent Primary School,"15 Gourlay St, WEST HOBART 7000",-42.8819,147.309,Hobart,Hobart City
West Hobart South,Clark,375,996,37.7,0.6,Goulburn Street Primary School,"Forest Rd, WEST HOBART 7000",-42.8878,147.317,Hobart,Hobart City
Windermere,Clark,113,1592,7.1,-1.1,Windermere Primary School,"2 Cadbury Rd, CLAREMONT 7011",-42.80013,147.259102,Derwent,Glenorchy City
Adventure Bay,Franklin,44,168,26.2,-1.3,Adventure Bay Hall,"Adventure Bay Rd, ADVENTURE BAY 7150",-43.3458,147.321,Huon,Kingborough
Alonnah,Franklin,98,277,35.4,-0.4,Bruny Island District School,"15 School Rd, ALONNAH 7150",-43.31807,147.244455,Huon,Kingborough
Bellerive,Franklin,236,1191,19.8,0.0,Clarence Police & Community Youth Club Inc,"10 Scott St, BELLERIVE 7018",-42.87606,147.370955,Pembroke,Clarence City
Blackmans Bay,Franklin,274,1110,24.7,1.6,Blackmans Bay Primary School,"177 Roslyn Ave, BLACKMANS BAY 7052",-42.996938,147.321219,Nelson,Kingborough
Blackmans Bay South,Franklin,313,1238,25.3,1.5,Illawarra Primary School,"6 Tinderbox Rd, BLACKMANS BAY 7052",-43.00865,147.319378,Huon,Kingborough
Cambridge,Franklin,298,1866,16.0,2.6,Cambridge Primary School,"976 Cambridge Rd, CAMBRIDGE 7170",-42.8362,147.442,Rumney,Clarence City
Clarence,Franklin,341,1737,19.6,2.3,Clarence High School,"25 Wentworth St, BELLERIVE 7018",-42.8784,147.389,Pembroke,Clarence City
Clarendon Vale,Franklin,86,941,9.1,4.7,Clarendon Vale Primary School,"25 Mockridge Rd, CLARENDON VALE 7019",-42.8873,147.445,Rumney,Clarence City
Cradoc,Franklin,140,575,24.3,0.3,Cradoc Park,"8243 Channel Hwy, CRADOC 7109",-43.1064,147.034,Huon,Huon Valley
Cygnet,Franklin,630,1657,38.0,0.2,Cygnet Sports Centre,"19 Louisa St, CYGNET 7112",-43.158236,147.071378,Huon,Huon Valley
Dover,Franklin,92,679,13.5,-1.1,Dover District High School,"6940 Huon Hwy, DOVER 7117",-43.3105,147.013,Huon,Huon Valley
Geeveston,Franklin,237,1198,19.8,5.5,Geeveston Primary School,"63 Arve Rd, GEEVESTON 7116",-43.1625,146.922,Huon,Huon Valley
Geilston Bay,Franklin,276,1490,18.5,1.3,Lindisfarne North Primary School,"271 East Derwent Hwy, GEILSTON BAY 7015",-42.8383,147.349,Pembroke,Clarence City
Glen Huon,Franklin,88,348,25.3,5.1,Glen Huon Primary School,"801 Glen Huon Rd, GLEN HUON 7109",-43.0278,146.962,Huon,Huon Valley
Howden,Franklin,77,314,24.5,-5.4,Howden Fire Station,"392 Howden Rd, HOWDEN 7054",-43.019128,147.291545,Huon,Kingborough
Howrah,Franklin,317,2138,14.8,0.2,"Howrah Scout Hall, Howrah Primary School","7 Howrah Rd, HOWRAH 7018",-42.8819,147.404,Pembroke,Clarence City
Huonville,Franklin,376,1828,20.6,3.9,Huonville Primary School,"74 Wilmot Rd, HUONVILLE 7109",-43.02424,147.044783,Huon,Huon Valley
Judbury,Franklin,58,283,20.5,-2.0,Judbury Hall,"1273 Glen Huon Rd, JUDBURY 7109",-42.9982,146.9283,Huon,Huon Valley
Kettering,Franklin,161,519,31.0,2.6,Kettering Community Centre,"2963 Channel Hwy, KETTERING 7155",-43.1257,147.247,Huon,Kingborough
Kingston,Franklin,600,2780,21.6,1.0,Kingborough Community Hub,"7 Goshawk Way, KINGSTON 7050",-42.976944,147.308333,Nelson,Kingborough
Kingston Beach,Franklin,309,1112,27.8,3.3,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-42.981534,147.323507,Nelson,Kingborough
Lauderdale,Franklin,439,2334,18.8,0.2,Lauderdale Primary Sports Centre,"3 Acton Rd, LAUDERDALE 7021",-42.904254,147.478491,Rumney,Clarence City
Lindisfarne,Franklin,299,1327,22.5,2.4,Lindisfarne Primary School,"17 Loatta Rd, LINDISFARNE 7015",-42.8519,147.363,Pembroke,Clarence City
